File,WaveData20240802_022.csv,
Date/Time,24-08-02/23:42,

Trace,A
Center Wavelength,1529.81,nm
Span Wavelength,10,nm
Start Wavelength,1524.81,nm
Stop Wavelength,1534.81,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.101,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1524.81,nm
Stop,1534.81,nm

Wavelength(A),Level(A)
1524.810000,4.8250E-005
1524.830000,4.9230E-005
1524.850000,5.0140E-005
1524.870000,5.0820E-005
1524.890000,5.1490E-005
1524.910000,5.2170E-005
1524.930000,5.3180E-005
1524.950000,5.4130E-005
1524.970000,5.4430E-005
1524.990000,5.5650E-005
1525.010000,5.6700E-005
1525.030000,5.7570E-005
1525.050000,5.8190E-005
1525.070000,5.9080E-005
1525.090000,6.0230E-005
1525.110000,6.0920E-005
1525.130000,6.1310E-005
1525.150000,6.2400E-005
1525.170000,6.3520E-005
1525.190000,6.4030E-005
1525.210000,6.4800E-005
1525.230000,6.5700E-005
1525.250000,6.7190E-005
1525.270000,6.7640E-005
1525.290000,6.8640E-005
1525.310000,6.9690E-005
1525.330000,7.0980E-005
1525.350000,7.1790E-005
1525.370000,7.2240E-005
1525.390000,7.3650E-005
1525.410000,7.4580E-005
1525.430000,7.5220E-005
1525.450000,7.6060E-005
1525.470000,7.7560E-005
1525.490000,7.9060E-005
1525.510000,7.9930E-005
1525.530000,8.1020E-005
1525.550000,8.2870E-005
1525.570000,8.4050E-005
1525.590000,8.4840E-005
1525.610000,8.5960E-005
1525.630000,8.7290E-005
1525.650000,8.8850E-005
1525.670000,8.9770E-005
1525.690000,9.0680E-005
1525.710000,9.2880E-005
1525.730000,9.4040E-005
1525.750000,9.5010E-005
1525.770000,9.6570E-005
1525.790000,9.8220E-005
1525.810000,1.0000E-004
1525.830000,1.0080E-004
1525.850000,1.0190E-004
1525.870000,1.0410E-004
1525.890000,1.0540E-004
1525.910000,1.0560E-004
1525.930000,1.0750E-004
1525.950000,1.0910E-004
1525.970000,1.1020E-004
1525.990000,1.1140E-004
1526.010000,1.1270E-004
1526.030000,1.1520E-004
1526.050000,1.1650E-004
1526.070000,1.1710E-004
1526.090000,1.1900E-004
1526.110000,1.2070E-004
1526.130000,1.2180E-004
1526.150000,1.2240E-004
1526.170000,1.2430E-004
1526.190000,1.2650E-004
1526.210000,1.2750E-004
1526.230000,1.2880E-004
1526.250000,1.3050E-004
1526.270000,1.3290E-004
1526.290000,1.3420E-004
1526.310000,1.3540E-004
1526.330000,1.3800E-004
1526.350000,1.4020E-004
1526.370000,1.4130E-004
1526.390000,1.4260E-004
1526.410000,1.4450E-004
1526.430000,1.4680E-004
1526.450000,1.4810E-004
1526.470000,1.4940E-004
1526.490000,1.5220E-004
1526.510000,1.5510E-004
1526.530000,1.5590E-004
1526.550000,1.5820E-004
1526.570000,1.6080E-004
1526.590000,1.6250E-004
1526.610000,1.6400E-004
1526.630000,1.6500E-004
1526.650000,1.6840E-004
1526.670000,1.6990E-004
1526.690000,1.7050E-004
1526.710000,1.7280E-004
1526.730000,1.7500E-004
1526.750000,1.7700E-004
1526.770000,1.7810E-004
1526.790000,1.8000E-004
1526.810000,1.8300E-004
1526.830000,1.8440E-004
1526.850000,1.8510E-004
1526.870000,1.8740E-004
1526.890000,1.9000E-004
1526.910000,1.9070E-004
1526.930000,1.9150E-004
1526.950000,1.9380E-004
1526.970000,1.9710E-004
1526.990000,1.9850E-004
1527.010000,1.9970E-004
1527.030000,2.0260E-004
1527.050000,2.0540E-004
1527.070000,2.0660E-004
1527.090000,2.0840E-004
1527.110000,2.1090E-004
1527.130000,2.1340E-004
1527.150000,2.1430E-004
1527.170000,2.1550E-004
1527.190000,2.1910E-004
1527.210000,2.2260E-004
1527.230000,2.2370E-004
1527.250000,2.2570E-004
1527.270000,2.2900E-004
1527.290000,2.3220E-004
1527.310000,2.3300E-004
1527.330000,2.3510E-004
1527.350000,2.3960E-004
1527.370000,2.4130E-004
1527.390000,2.4120E-004
1527.410000,2.4340E-004
1527.430000,2.4590E-004
1527.450000,2.4850E-004
1527.470000,2.4890E-004
1527.490000,2.5050E-004
1527.510000,2.5450E-004
1527.530000,2.5690E-004
1527.550000,2.5670E-004
1527.570000,2.5980E-004
1527.590000,2.6230E-004
1527.610000,2.6360E-004
1527.630000,2.6380E-004
1527.650000,2.6490E-004
1527.670000,2.6800E-004
1527.690000,2.6860E-004
1527.710000,2.6850E-004
1527.730000,2.7150E-004
1527.750000,2.7480E-004
1527.770000,2.7450E-004
1527.790000,2.7630E-004
1527.810000,2.7810E-004
1527.830000,2.8150E-004
1527.850000,2.8200E-004
1527.870000,2.8200E-004
1527.890000,2.8530E-004
1527.910000,2.8770E-004
1527.930000,2.8780E-004
1527.950000,2.8940E-004
1527.970000,2.9220E-004
1527.990000,2.9510E-004
1528.010000,2.9620E-004
1528.030000,2.9730E-004
1528.050000,3.0210E-004
1528.070000,3.0400E-004
1528.090000,3.0400E-004
1528.110000,3.0570E-004
1528.130000,3.0940E-004
1528.150000,3.1070E-004
1528.170000,3.1110E-004
1528.190000,3.1230E-004
1528.210000,3.1600E-004
1528.230000,3.1750E-004
1528.250000,3.1670E-004
1528.270000,3.2100E-004
1528.290000,3.2350E-004
1528.310000,3.2510E-004
1528.330000,3.2470E-004
1528.350000,3.2490E-004
1528.370000,3.2880E-004
1528.390000,3.2930E-004
1528.410000,3.2750E-004
1528.430000,3.2950E-004
1528.450000,3.3170E-004
1528.470000,3.3110E-004
1528.490000,3.3160E-004
1528.510000,3.3300E-004
1528.530000,3.3580E-004
1528.550000,3.3620E-004
1528.570000,3.3480E-004
1528.590000,3.3750E-004
1528.610000,3.3970E-004
1528.630000,3.3900E-004
1528.650000,3.3920E-004
1528.670000,3.4130E-004
1528.690000,3.4270E-004
1528.710000,3.4030E-004
1528.730000,3.4240E-004
1528.750000,3.4460E-004
1528.770000,3.4780E-004
1528.790000,3.4750E-004
1528.810000,3.4760E-004
1528.830000,3.5270E-004
1528.850000,3.5350E-004
1528.870000,3.5140E-004
1528.890000,3.5410E-004
1528.910000,3.5670E-004
1528.930000,3.5670E-004
1528.950000,3.5640E-004
1528.970000,3.5600E-004
1528.990000,3.6070E-004
1529.010000,3.6220E-004
1529.030000,3.6010E-004
1529.050000,3.6430E-004
1529.070000,3.6600E-004
1529.090000,3.6450E-004
1529.110000,3.6490E-004
1529.130000,3.6540E-004
1529.150000,3.6900E-004
1529.170000,3.6780E-004
1529.190000,3.6530E-004
1529.210000,3.6750E-004
1529.230000,3.7020E-004
1529.250000,3.6840E-004
1529.270000,3.6850E-004
1529.290000,3.7040E-004
1529.310000,3.7340E-004
1529.330000,3.7150E-004
1529.350000,3.7100E-004
1529.370000,3.7430E-004
1529.390000,3.7340E-004
1529.410000,3.7030E-004
1529.430000,3.7160E-004
1529.450000,3.7360E-004
1529.470000,3.7660E-004
1529.490000,3.7600E-004
1529.510000,3.7740E-004
1529.530000,3.8340E-004
1529.550000,3.8970E-004
1529.570000,3.9900E-004
1529.590000,4.1670E-004
1529.610000,4.5600E-004
1529.630000,5.0260E-004
1529.650000,5.5570E-004
1529.670000,6.6140E-004
1529.690000,9.1380E-004
1529.710000,2.0010E-003
1529.730000,8.7780E-003
1529.750000,3.9970E-002
1529.770000,1.4950E-001
1529.790000,2.3590E-001
1529.810000,2.4560E-001
1529.830000,2.3970E-001
1529.850000,2.0990E-001
1529.870000,1.0610E-001
1529.890000,1.3880E-002
1529.910000,3.4390E-003
1529.930000,1.3830E-003
1529.950000,9.6390E-004
1529.970000,6.0540E-004
1529.990000,4.6550E-004
1530.010000,4.2320E-004
1530.030000,4.0600E-004
1530.050000,3.9720E-004
1530.070000,3.9630E-004
1530.090000,3.9660E-004
1530.110000,3.9430E-004
1530.130000,3.9210E-004
1530.150000,3.9320E-004
1530.170000,3.9530E-004
1530.190000,3.9430E-004
1530.210000,3.9010E-004
1530.230000,3.9500E-004
1530.250000,3.9600E-004
1530.270000,3.9260E-004
1530.290000,3.9400E-004
1530.310000,3.9730E-004
1530.330000,3.9990E-004
1530.350000,3.9740E-004
1530.370000,3.9700E-004
1530.390000,4.0200E-004
1530.410000,4.0190E-004
1530.430000,3.9770E-004
1530.450000,4.0030E-004
1530.470000,4.0340E-004
1530.490000,4.0280E-004
1530.510000,4.0280E-004
1530.530000,4.0300E-004
1530.550000,4.0890E-004
1530.570000,4.0890E-004
1530.590000,4.0480E-004
1530.610000,4.0930E-004
1530.630000,4.1070E-004
1530.650000,4.0910E-004
1530.670000,4.0800E-004
1530.690000,4.1010E-004
1530.710000,4.1230E-004
1530.730000,4.0980E-004
1530.750000,4.0660E-004
1530.770000,4.1240E-004
1530.790000,4.1250E-004
1530.810000,4.0920E-004
1530.830000,4.1050E-004
1530.850000,4.1340E-004
1530.870000,4.1310E-004
1530.890000,4.1040E-004
1530.910000,4.0780E-004
1530.930000,4.1110E-004
1530.950000,4.0990E-004
1530.970000,4.0590E-004
1530.990000,4.0830E-004
1531.010000,4.1100E-004
1531.030000,4.0950E-004
1531.050000,4.0900E-004
1531.070000,4.0850E-004
1531.090000,4.1300E-004
1531.110000,4.1070E-004
1531.130000,4.0700E-004
1531.150000,4.1100E-004
1531.170000,4.1220E-004
1531.190000,4.0900E-004
1531.210000,4.0860E-004
1531.230000,4.1030E-004
1531.250000,4.1220E-004
1531.270000,4.1080E-004
1531.290000,4.0880E-004
1531.310000,4.1430E-004
1531.330000,4.1480E-004
1531.350000,4.1200E-004
1531.370000,4.1380E-004
1531.390000,4.1630E-004
1531.410000,4.1570E-004
1531.430000,4.0970E-004
1531.450000,4.1090E-004
1531.470000,4.1250E-004
1531.490000,4.1110E-004
1531.510000,4.0990E-004
1531.530000,4.0980E-004
1531.550000,4.1360E-004
1531.570000,4.1110E-004
1531.590000,4.0740E-004
1531.610000,4.0970E-004
1531.630000,4.0970E-004
1531.650000,4.0580E-004
1531.670000,4.0450E-004
1531.690000,4.0470E-004
1531.710000,4.0600E-004
1531.730000,4.0170E-004
1531.750000,3.9940E-004
1531.770000,4.0200E-004
1531.790000,4.0160E-004
1531.810000,3.9740E-004
1531.830000,3.9840E-004
1531.850000,3.9990E-004
1531.870000,3.9990E-004
1531.890000,3.9610E-004
1531.910000,3.9580E-004
1531.930000,3.9750E-004
1531.950000,3.9520E-004
1531.970000,3.9080E-004
1531.990000,3.9100E-004
1532.010000,3.9420E-004
1532.030000,3.9210E-004
1532.050000,3.9080E-004
1532.070000,3.9110E-004
1532.090000,3.9350E-004
1532.110000,3.9110E-004
1532.130000,3.8670E-004
1532.150000,3.9050E-004
1532.170000,3.8940E-004
1532.190000,3.8610E-004
1532.210000,3.8440E-004
1532.230000,3.8550E-004
1532.250000,3.8470E-004
1532.270000,3.8090E-004
1532.290000,3.8070E-004
1532.310000,3.8150E-004
1532.330000,3.8210E-004
1532.350000,3.7790E-004
1532.370000,3.7540E-004
1532.390000,3.7720E-004
1532.410000,3.7440E-004
1532.430000,3.6970E-004
1532.450000,3.6850E-004
1532.470000,3.6920E-004
1532.490000,3.6630E-004
1532.510000,3.6340E-004
1532.530000,3.6350E-004
1532.550000,3.6410E-004
1532.570000,3.6130E-004
1532.590000,3.5740E-004
1532.610000,3.5810E-004
1532.630000,3.5770E-004
1532.650000,3.5380E-004
1532.670000,3.5200E-004
1532.690000,3.5130E-004
1532.710000,3.5080E-004
1532.730000,3.4770E-004
1532.750000,3.4420E-004
1532.770000,3.4590E-004
1532.790000,3.4560E-004
1532.810000,3.4070E-004
1532.830000,3.4200E-004
1532.850000,3.4250E-004
1532.870000,3.4160E-004
1532.890000,3.3800E-004
1532.910000,3.3650E-004
1532.930000,3.3730E-004
1532.950000,3.3430E-004
1532.970000,3.3050E-004
1532.990000,3.3090E-004
1533.010000,3.3130E-004
1533.030000,3.2740E-004
1533.050000,3.2560E-004
1533.070000,3.2550E-004
1533.090000,3.2570E-004
1533.110000,3.2320E-004
1533.130000,3.1890E-004
1533.150000,3.1960E-004
1533.170000,3.1840E-004
1533.190000,3.1310E-004
1533.210000,3.1180E-004
1533.230000,3.1090E-004
1533.250000,3.0860E-004
1533.270000,3.0530E-004
1533.290000,3.0300E-004
1533.310000,3.0380E-004
1533.330000,3.0200E-004
1533.350000,2.9790E-004
1533.370000,2.9720E-004
1533.390000,2.9670E-004
1533.410000,2.9310E-004
1533.430000,2.8920E-004
1533.450000,2.8820E-004
1533.470000,2.8850E-004
1533.490000,2.8420E-004
1533.510000,2.8180E-004
1533.530000,2.8260E-004
1533.550000,2.8140E-004
1533.570000,2.7880E-004
1533.590000,2.7640E-004
1533.610000,2.7700E-004
1533.630000,2.7420E-004
1533.650000,2.7200E-004
1533.670000,2.6960E-004
1533.690000,2.7080E-004
1533.710000,2.6820E-004
1533.730000,2.6450E-004
1533.750000,2.6390E-004
1533.770000,2.6310E-004
1533.790000,2.6070E-004
1533.810000,2.5850E-004
1533.830000,2.5790E-004
1533.850000,2.5820E-004
1533.870000,2.5630E-004
1533.890000,2.5240E-004
1533.910000,2.5280E-004
1533.930000,2.5100E-004
1533.950000,2.4710E-004
1533.970000,2.4470E-004
1533.990000,2.4320E-004
1534.010000,2.4260E-004
1534.030000,2.3930E-004
1534.050000,2.3680E-004
1534.070000,2.3700E-004
1534.090000,2.3570E-004
1534.110000,2.3170E-004
1534.130000,2.3070E-004
1534.150000,2.3000E-004
1534.170000,2.2740E-004
1534.190000,2.2460E-004
1534.210000,2.2300E-004
1534.230000,2.2220E-004
1534.250000,2.1930E-004
1534.270000,2.1650E-004
1534.290000,2.1620E-004
1534.310000,2.1520E-004
1534.330000,2.1290E-004
1534.350000,2.1160E-004
1534.370000,2.1130E-004
1534.390000,2.1010E-004
1534.410000,2.0780E-004
1534.430000,2.0490E-004
1534.450000,2.0520E-004
1534.470000,2.0340E-004
1534.490000,2.0070E-004
1534.510000,2.0020E-004
1534.530000,1.9960E-004
1534.550000,1.9800E-004
1534.570000,1.9610E-004
1534.590000,1.9510E-004
1534.610000,1.9500E-004
1534.630000,1.9270E-004
1534.650000,1.9040E-004
1534.670000,1.9040E-004
1534.690000,1.8950E-004
1534.710000,1.8660E-004
1534.730000,1.8490E-004
1534.750000,1.8380E-004
1534.770000,1.8250E-004
1534.790000,1.8020E-004
1534.810000,1.7780E-004
