File,WaveData20240530_003.csv,
Date/Time,24-05-30/20:08,

Trace,A
Center Wavelength,1529.77,nm
Span Wavelength,10,nm
Start Wavelength,1524.77,nm
Stop Wavelength,1534.77,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.101,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1524.77,nm
Stop,1534.77,nm

Wavelength(A),Level(A)
1524.770000,1.0680E-005
1524.790000,1.1400E-005
1524.810000,1.2060E-005
1524.830000,1.2680E-005
1524.850000,1.3390E-005
1524.870000,1.4030E-005
1524.890000,1.4640E-005
1524.910000,1.5100E-005
1524.930000,1.5660E-005
1524.950000,1.6340E-005
1524.970000,1.6800E-005
1524.990000,1.7390E-005
1525.010000,1.8190E-005
1525.030000,1.9130E-005
1525.050000,2.0160E-005
1525.070000,2.1340E-005
1525.090000,2.2890E-005
1525.110000,2.4700E-005
1525.130000,2.6650E-005
1525.150000,2.8590E-005
1525.170000,3.0730E-005
1525.190000,3.3160E-005
1525.210000,3.5260E-005
1525.230000,3.7220E-005
1525.250000,3.9290E-005
1525.270000,4.1240E-005
1525.290000,4.2880E-005
1525.310000,4.4140E-005
1525.330000,4.6120E-005
1525.350000,4.7890E-005
1525.370000,4.9620E-005
1525.390000,5.1830E-005
1525.410000,5.4540E-005
1525.430000,5.7900E-005
1525.450000,6.1180E-005
1525.470000,6.5040E-005
1525.490000,6.9970E-005
1525.510000,7.4610E-005
1525.530000,7.9750E-005
1525.550000,8.5330E-005
1525.570000,9.0900E-005
1525.590000,9.6340E-005
1525.610000,1.0060E-004
1525.630000,1.0520E-004
1525.650000,1.1010E-004
1525.670000,1.1390E-004
1525.690000,1.1740E-004
1525.710000,1.2140E-004
1525.730000,1.2620E-004
1525.750000,1.3050E-004
1525.770000,1.3570E-004
1525.790000,1.4180E-004
1525.810000,1.5050E-004
1525.830000,1.6000E-004
1525.850000,1.7030E-004
1525.870000,1.8270E-004
1525.890000,1.9590E-004
1525.910000,2.0970E-004
1525.930000,2.2440E-004
1525.950000,2.3820E-004
1525.970000,2.5240E-004
1525.990000,2.6500E-004
1526.010000,2.7460E-004
1526.030000,2.8640E-004
1526.050000,2.9650E-004
1526.070000,3.0580E-004
1526.090000,3.1400E-004
1526.110000,3.2500E-004
1526.130000,3.3980E-004
1526.150000,3.5330E-004
1526.170000,3.6800E-004
1526.190000,3.8810E-004
1526.210000,4.1100E-004
1526.230000,4.3300E-004
1526.250000,4.5680E-004
1526.270000,4.8270E-004
1526.290000,5.1200E-004
1526.310000,5.3630E-004
1526.330000,5.5980E-004
1526.350000,5.8180E-004
1526.370000,6.0410E-004
1526.390000,6.1990E-004
1526.410000,6.3270E-004
1526.430000,6.5100E-004
1526.450000,6.7080E-004
1526.470000,6.8240E-004
1526.490000,6.9520E-004
1526.510000,7.1480E-004
1526.530000,7.3730E-004
1526.550000,7.5920E-004
1526.570000,7.8820E-004
1526.590000,8.1860E-004
1526.610000,8.5870E-004
1526.630000,8.9360E-004
1526.650000,9.3130E-004
1526.670000,9.6740E-004
1526.690000,1.0060E-003
1526.710000,1.0290E-003
1526.730000,1.0460E-003
1526.750000,1.0730E-003
1526.770000,1.0960E-003
1526.790000,1.1030E-003
1526.810000,1.1240E-003
1526.830000,1.1410E-003
1526.850000,1.1540E-003
1526.870000,1.1710E-003
1526.890000,1.1860E-003
1526.910000,1.2200E-003
1526.930000,1.2460E-003
1526.950000,1.2670E-003
1526.970000,1.3020E-003
1526.990000,1.3360E-003
1527.010000,1.3640E-003
1527.030000,1.3880E-003
1527.050000,1.4170E-003
1527.070000,1.4470E-003
1527.090000,1.4640E-003
1527.110000,1.4730E-003
1527.130000,1.4990E-003
1527.150000,1.5090E-003
1527.170000,1.5240E-003
1527.190000,1.5280E-003
1527.210000,1.5440E-003
1527.230000,1.5610E-003
1527.250000,1.5650E-003
1527.270000,1.5690E-003
1527.290000,1.5930E-003
1527.310000,1.6050E-003
1527.330000,1.6240E-003
1527.350000,1.6450E-003
1527.370000,1.6680E-003
1527.390000,1.6990E-003
1527.410000,1.7150E-003
1527.430000,1.7270E-003
1527.450000,1.7620E-003
1527.470000,1.7780E-003
1527.490000,1.7760E-003
1527.510000,1.7930E-003
1527.530000,1.8110E-003
1527.550000,1.8160E-003
1527.570000,1.8190E-003
1527.590000,1.8190E-003
1527.610000,1.8430E-003
1527.630000,1.8550E-003
1527.650000,1.8520E-003
1527.670000,1.8740E-003
1527.690000,1.8920E-003
1527.710000,1.9090E-003
1527.730000,1.9140E-003
1527.750000,1.9270E-003
1527.770000,1.9510E-003
1527.790000,1.9700E-003
1527.810000,1.9660E-003
1527.830000,1.9920E-003
1527.850000,2.0120E-003
1527.870000,2.0070E-003
1527.890000,2.0230E-003
1527.910000,2.0260E-003
1527.930000,2.0530E-003
1527.950000,2.0540E-003
1527.970000,2.0430E-003
1527.990000,2.0650E-003
1528.010000,2.0810E-003
1528.030000,2.0640E-003
1528.050000,2.0700E-003
1528.070000,2.0680E-003
1528.090000,2.0940E-003
1528.110000,2.0920E-003
1528.130000,2.1000E-003
1528.150000,2.1400E-003
1528.170000,2.1490E-003
1528.190000,2.1500E-003
1528.210000,2.1680E-003
1528.230000,2.1770E-003
1528.250000,2.1960E-003
1528.270000,2.1880E-003
1528.290000,2.1840E-003
1528.310000,2.2050E-003
1528.330000,2.2050E-003
1528.350000,2.1950E-003
1528.370000,2.2020E-003
1528.390000,2.2140E-003
1528.410000,2.2160E-003
1528.430000,2.2200E-003
1528.450000,2.2210E-003
1528.470000,2.2490E-003
1528.490000,2.2510E-003
1528.510000,2.2370E-003
1528.530000,2.2590E-003
1528.550000,2.2660E-003
1528.570000,2.2680E-003
1528.590000,2.2760E-003
1528.610000,2.2800E-003
1528.630000,2.3070E-003
1528.650000,2.3140E-003
1528.670000,2.3060E-003
1528.690000,2.3210E-003
1528.710000,2.3310E-003
1528.730000,2.3160E-003
1528.750000,2.3180E-003
1528.770000,2.3140E-003
1528.790000,2.3270E-003
1528.810000,2.3170E-003
1528.830000,2.3010E-003
1528.850000,2.3300E-003
1528.870000,2.3400E-003
1528.890000,2.3330E-003
1528.910000,2.3460E-003
1528.930000,2.3600E-003
1528.950000,2.3770E-003
1528.970000,2.3600E-003
1528.990000,2.3680E-003
1529.010000,2.3780E-003
1529.030000,2.3850E-003
1529.050000,2.3630E-003
1529.070000,2.3640E-003
1529.090000,2.3740E-003
1529.110000,2.3760E-003
1529.130000,2.3730E-003
1529.150000,2.3750E-003
1529.170000,2.3980E-003
1529.190000,2.3960E-003
1529.210000,2.3790E-003
1529.230000,2.3910E-003
1529.250000,2.4010E-003
1529.270000,2.3990E-003
1529.290000,2.3960E-003
1529.310000,2.4020E-003
1529.330000,2.4150E-003
1529.350000,2.4080E-003
1529.370000,2.3910E-003
1529.390000,2.4170E-003
1529.410000,2.4200E-003
1529.430000,2.4210E-003
1529.450000,2.4270E-003
1529.470000,2.4390E-003
1529.490000,2.4690E-003
1529.510000,2.4700E-003
1529.530000,2.5030E-003
1529.550000,2.6320E-003
1529.570000,2.8450E-003
1529.590000,3.0560E-003
1529.610000,3.3830E-003
1529.630000,4.3370E-003
1529.650000,8.0850E-003
1529.670000,2.5380E-002
1529.690000,9.9570E-002
1529.710000,3.8190E-001
1529.730000,9.8100E-001
1529.750000,1.1490E000
1529.770000,1.1550E000
1529.790000,1.0980E000
1529.810000,8.4090E-001
1529.830000,2.1890E-001
1529.850000,2.8430E-002
1529.870000,1.0840E-002
1529.890000,6.4880E-003
1529.910000,3.8870E-003
1529.930000,2.9280E-003
1529.950000,2.6250E-003
1529.970000,2.4980E-003
1529.990000,2.4610E-003
1530.010000,2.4630E-003
1530.030000,2.4450E-003
1530.050000,2.4130E-003
1530.070000,2.4090E-003
1530.090000,2.4230E-003
1530.110000,2.4040E-003
1530.130000,2.3860E-003
1530.150000,2.4080E-003
1530.170000,2.4200E-003
1530.190000,2.4310E-003
1530.210000,2.4200E-003
1530.230000,2.4300E-003
1530.250000,2.4240E-003
1530.270000,2.4080E-003
1530.290000,2.4110E-003
1530.310000,2.4140E-003
1530.330000,2.4400E-003
1530.350000,2.4250E-003
1530.370000,2.4120E-003
1530.390000,2.4250E-003
1530.410000,2.4270E-003
1530.430000,2.4150E-003
1530.450000,2.4120E-003
1530.470000,2.4380E-003
1530.490000,2.4400E-003
1530.510000,2.4160E-003
1530.530000,2.4210E-003
1530.550000,2.4280E-003
