Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
6s1/2,6p1/2,894.593,0,894.593,4.4978,0.0061,4.4978(61),"R. J. Rafac, C. E. Tanner, A. E. Livingston, K. W. Kukla, H. G. Berry, and C. A. Kurtz, Phys. Rev. A 50, R1976 (1994)",https://doi.org/10.1103/PhysRevA.50.R1976,,
6s1/2,6p3/2,852.3473,0,852.3473,6.3349,0.0048,6.3349(48),"B. M. Patterson, J. F. Sell, T. Ehrenreich, M. A. Gearba, G. M. Brooke, J. Scoville, and R. J.  Knize, Phys. Rev. A 91, 012506 (2015)",https://doi.org/10.1103/PhysRevA.91.012506,,
6s1/2,7p1/2,459.4459,0.0004,459.4459(4),0.2781,0.00045,0.27810(45),"Amy Damitz, George Toh, Eric Putney, Carol E. Tanner, and D. S. Elliott, Phys. Rev. A 99, 062510 (2019)",https://doi.org/10.1103/PhysRevA.99.062510,,
6s1/2,7p3/2,455.6557,0.0005,455.6557(5),0.57417,0.00057,0.57417(57),"Amy Damitz, George Toh, Eric Putney, Carol E. Tanner, and D. S. Elliott, Phys. Rev. A 99, 062510 (2019)",https://doi.org/10.1103/PhysRevA.99.062510,,
6s1/2,8p1/2,388.9713,0,388.9713,0.0915939,0.0126111,0.092(13),,,,
6s1/2,8p3/2,387.7245,0.0005,387.7245(5),0.2319668,0.0154791,0.232(15),,,,
6s1/2,9p1/2,361.8338,0,361.8338,0.0429134,0.0088506,0.0429(89),,,,
6s1/2,9p3/2,361.2498,0,361.2498,0.1297439,0.0108899,0.130(11),,,,
6s1/2,10p1/2,348.1068,0,348.1068,0.0247715,0.0067375,0.0248(67),,,,
6s1/2,10p3/2,347.7816,0,347.7816,0.0860122,0.0083247,0.0860(83),,,,
6s1/2,11p1/2,340.0965,0,340.0965,0.0162114,0.0053711,0.0162(54),,,,
6s1/2,11p3/2,339.8953,0,339.8953,0.0627265,0.0066606,0.0627(67),,,,
6s1/2,12p1/2,334.9811,0,334.9811,0.0115313,0.0044183,0.0115(44),,,,
6s1/2,12p3/2,334.8475,0,334.8475,0.0485797,0.0054952,0.0486(55),,,,
6s1/2,13p1/2,331.5027,0,331.5027,0.0086987,0.00372,0.0087(37),,,,
6s1/2,13p3/2,331.4092,0,331.4092,0.0391977,0.0046377,0.0392(46),,,,
6s1/2,14p1/2,329.0245,0,329.0245,0.0068513,0.0031893,0.0069(32),,,,
6s1/2,14p3/2,328.9564,0,328.9564,0.0325773,0.0039838,0.0326(40),,,,
7s1/2,6p1/2,1359.2016,0.0006,1359.2016(6),4.249,0.004,4.249(4),"George Toh, Amy Damitz, Nathan Glotzbach, Jonah Quirk, I. C. Stevenson, J. Choi, M. S. Safronova, and D. S. Elliott. Phys. Rev. A 99, 032504 (2019)",https://doi.org/10.1103/PhysRevA.99.032504,,
7s1/2,6p3/2,1469.8919,0.0006,1469.8919(6),6.489,0.005,6.489(5),"George Toh, Amy Damitz, Nathan Glotzbach, Jonah Quirk, I. C. Stevenson, J. Choi, M. S. Safronova, and D. S. Elliott. Phys. Rev. A 99, 032504 (2019)",https://doi.org/10.1103/PhysRevA.99.032504,,
7s1/2,7p1/2,3096.1483,0.0194,3096.15(2),10.308,0.015,10.308(15),"S. C. Bennett, J. L. Roberts, and C. E. Wieman, Phys. Rev. A 59, R16 (1999)",https://doi.org/10.1103/PhysRevA.59.R16,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999)",https://doi.org/10.1103/PhysRevA.60.4476
7s1/2,7p3/2,2931.8047,0.0225,2931.80(2),14.32,0.02,14.320(20),"S. C. Bennett, J. L. Roberts, and C. E. Wieman, Phys. Rev. A 59, R16 (1999)",https://doi.org/10.1103/PhysRevA.59.R16,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999)",https://doi.org/10.1103/PhysRevA.60.4476
7s1/2,8p1/2,1394.0572,0.0006,1394.0572(6),0.9143962,0.0267323,0.914(27),,,,
7s1/2,8p3/2,1378.1737,0.0057,1378.174(6),1.6203948,0.0351985,1.620(35),,,,
7s1/2,9p1/2,1098.7239,0.0004,1098.7239(4),0.3484952,0.003485,0.3485(35),,,,
7s1/2,9p3/2,1093.3563,0.0004,1093.3563(4),0.6799406,0.0095881,0.6799(96),,,,
7s1/2,10p1/2,981.2307,0.0003,981.2307(3),0.1908403,0.0019084,0.1908(19),,,,
7s1/2,10p3/2,978.6509,0.0003,978.6509(3),0.3961751,0.0066356,0.3962(66),,,,
7s1/2,11p1/2,920.1414,0.0003,920.1414(3),0.1246777,0.0013148,0.1247(13),,,,
7s1/2,11p3/2,918.6705,0.0004,918.6705(4),0.2698519,0.0048472,0.2699(48),,,,
7s1/2,12p1/2,883.634,0.0002,883.6340(2),0.0900018,0.000959,0.09000(96),,,,
7s1/2,12p3/2,882.7047,0.0003,882.7047(3),0.2006183,0.007248,0.2006(72),,,,
7s1/2,13p1/2,859.8349,0.0002,859.8349(2),0.0692106,0.0007337,0.06921(73),,,,
7s1/2,13p3/2,859.2062,0.0003,859.2062(3),0.1576256,0.0059481,0.1576(59),,,,
7s1/2,14p1/2,843.3592,0.0002,843.3592(2),0.0555711,0.0005831,0.05557(58),,,,
7s1/2,14p3/2,842.912,0.0003,842.9120(3),0.1286209,0.0049873,0.1286(50),,,,
8s1/2,6p1/2,761.0998,0,761.0998,1.0225182,0.0104242,1.023(10),,,,
8s1/2,6p3/2,794.6067,0,794.6067,1.4554009,0.0153247,1.455(15),,,,
8s1/2,7p1/2,3918.8003,0.0307,3918.80(3),9.3125109,0.0229434,9.313(23),,,,
8s1/2,7p3/2,4218.0702,0.0463,4218.07(5),14.065902,0.067774,14.066(68),,,,
8s1/2,8p1/2,7185.5289,0,7185.5289,17.777142,0.059462,17.777(59),,,,
8s1/2,8p3/2,6782.6104,0.138,6782.6(1),24.564394,0.0945,24.564(95),,,,
8s1/2,9p1/2,3012.1868,0.0005,3012.1868(5),1.7244582,0.0387669,1.724(39),,,,
8s1/2,9p3/2,2972.1844,0.001,2972.184(1),2.9415224,0.0506356,2.942(51),,,,
8s1/2,10p1/2,2267.747,0.0003,2267.7470(3),0.6645493,0.014406,0.665(14),,,,
8s1/2,10p3/2,2254.0151,0.0006,2254.0151(6),1.2409925,0.0284072,1.241(28),,,,
8s1/2,11p1/2,1966.0759,0,1966.0759,0.3768955,0.0080724,0.3769(81),,,,
8s1/2,11p3/2,1959.3726,0.0012,1959.373(1),0.7259333,0.0175982,0.726(18),,,,
8s1/2,12p1/2,1806.5927,0,1806.5927,0.2495402,0.0060616,0.2495(61),,,,
